SUBSIDIARIA;CENTRO DE COSTO;CATEGORIA;CUENTA;ANIO;ESTADO;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;TOTAL;
HADES CAPITAL SAPI DE C.V.,LA HAUS CAYMAN,LA HAUS LLC,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;09-REVENUE,0901-DISTRIBUTION,090101-GENERAL,090102-MEXICO,09010201-CIUDAD DE MEXICO,09010202-GUADALAJARA,09010203-MONTERREY,09010204-QUERETARO,09010205-CANCUN,09010206-VIS MEX,090103-COLOMBIA,09010301-BOGOTA,09010302-MEDELLIN,09010303-CALI,09010304-CARIBE,09010305-VIS COL,090104-BRAZIL,09010401-SAO PAULO,0902-LH CASH ADVANCE,090201-GENERAL,090202-MEXICO,09020201-CIUDAD DE MEXICO,09020202-GUADALAJARA,09020203-MONTERREY,09020204-QUERETARO,09020205-CANCUN,090203-COLOMBIA,09020301-BOGOTA,09020302-MEDELLIN,09020303-CALI,09020304-CARIBE,090204-BRAZIL,0903-COLOMBIA,090301-BOGOTA,090302-MEDELLIN,090303-CALI,090304-CARIBE,0904-USED HOUSING,090401-GENERAL,090402-MEXICO,09040201-CIUDAD DE MEXICO,09040202-GUADALAJARA,09040203-MONTERREY,09040204-QUERETARO,09040205-CANCUN,090403-COLOMBIA,09040301-BOGOTA,09040302-MEDELLIN,09040303-CALI,09040304-CARIBE,090404-BRAZIL,09040401-SAO PAULO,0905-GENERAL PROJECTS,090501- VIS;;;2022;Presupuestado;.00;.00;.00;.00;.00;.00;.00;1765495.85;1765495.85;1765495.85;1765495.85;1765495.85;8827479.25;
HADES CAPITAL SAPI DE C.V.,LA HAUS CAYMAN,LA HAUS LLC,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;09-REVENUE,0901-DISTRIBUTION,090101-GENERAL,090102-MEXICO,09010201-CIUDAD DE MEXICO,09010202-GUADALAJARA,09010203-MONTERREY,09010204-QUERETARO,09010205-CANCUN,09010206-VIS MEX,090103-COLOMBIA,09010301-BOGOTA,09010302-MEDELLIN,09010303-CALI,09010304-CARIBE,09010305-VIS COL,090104-BRAZIL,09010401-SAO PAULO,0902-LH CASH ADVANCE,090201-GENERAL,090202-MEXICO,09020201-CIUDAD DE MEXICO,09020202-GUADALAJARA,09020203-MONTERREY,09020204-QUERETARO,09020205-CANCUN,090203-COLOMBIA,09020301-BOGOTA,09020302-MEDELLIN,09020303-CALI,09020304-CARIBE,090204-BRAZIL,0903-COLOMBIA,090301-BOGOTA,090302-MEDELLIN,090303-CALI,090304-CARIBE,0904-USED HOUSING,090401-GENERAL,090402-MEXICO,09040201-CIUDAD DE MEXICO,09040202-GUADALAJARA,09040203-MONTERREY,09040204-QUERETARO,09040205-CANCUN,090403-COLOMBIA,09040301-BOGOTA,09040302-MEDELLIN,09040303-CALI,09040304-CARIBE,090404-BRAZIL,09040401-SAO PAULO,0905-GENERAL PROJECTS,090501- VIS;;;2022;Reservado;.00;.00;.00;.00;.00;.00;.00;54212.65;7773.77;.00;.00;.00;61986.42;
HADES CAPITAL SAPI DE C.V.,LA HAUS CAYMAN,LA HAUS LLC,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;09-REVENUE,0901-DISTRIBUTION,090101-GENERAL,090102-MEXICO,09010201-CIUDAD DE MEXICO,09010202-GUADALAJARA,09010203-MONTERREY,09010204-QUERETARO,09010205-CANCUN,09010206-VIS MEX,090103-COLOMBIA,09010301-BOGOTA,09010302-MEDELLIN,09010303-CALI,09010304-CARIBE,09010305-VIS COL,090104-BRAZIL,09010401-SAO PAULO,0902-LH CASH ADVANCE,090201-GENERAL,090202-MEXICO,09020201-CIUDAD DE MEXICO,09020202-GUADALAJARA,09020203-MONTERREY,09020204-QUERETARO,09020205-CANCUN,090203-COLOMBIA,09020301-BOGOTA,09020302-MEDELLIN,09020303-CALI,09020304-CARIBE,090204-BRAZIL,0903-COLOMBIA,090301-BOGOTA,090302-MEDELLIN,090303-CALI,090304-CARIBE,0904-USED HOUSING,090401-GENERAL,090402-MEXICO,09040201-CIUDAD DE MEXICO,09040202-GUADALAJARA,09040203-MONTERREY,09040204-QUERETARO,09040205-CANCUN,090403-COLOMBIA,09040301-BOGOTA,09040302-MEDELLIN,09040303-CALI,09040304-CARIBE,090404-BRAZIL,09040401-SAO PAULO,0905-GENERAL PROJECTS,090501- VIS;;;2022;Comprometido;.00;.00;.00;.00;.00;.00;.00;372384.80;9091.80;.00;.00;.00;381476.60;
HADES CAPITAL SAPI DE C.V.,LA HAUS CAYMAN,LA HAUS LLC,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;09-REVENUE,0901-DISTRIBUTION,090101-GENERAL,090102-MEXICO,09010201-CIUDAD DE MEXICO,09010202-GUADALAJARA,09010203-MONTERREY,09010204-QUERETARO,09010205-CANCUN,09010206-VIS MEX,090103-COLOMBIA,09010301-BOGOTA,09010302-MEDELLIN,09010303-CALI,09010304-CARIBE,09010305-VIS COL,090104-BRAZIL,09010401-SAO PAULO,0902-LH CASH ADVANCE,090201-GENERAL,090202-MEXICO,09020201-CIUDAD DE MEXICO,09020202-GUADALAJARA,09020203-MONTERREY,09020204-QUERETARO,09020205-CANCUN,090203-COLOMBIA,09020301-BOGOTA,09020302-MEDELLIN,09020303-CALI,09020304-CARIBE,090204-BRAZIL,0903-COLOMBIA,090301-BOGOTA,090302-MEDELLIN,090303-CALI,090304-CARIBE,0904-USED HOUSING,090401-GENERAL,090402-MEXICO,09040201-CIUDAD DE MEXICO,09040202-GUADALAJARA,09040203-MONTERREY,09040204-QUERETARO,09040205-CANCUN,090403-COLOMBIA,09040301-BOGOTA,09040302-MEDELLIN,09040303-CALI,09040304-CARIBE,090404-BRAZIL,09040401-SAO PAULO,0905-GENERAL PROJECTS,090501- VIS;;;2022;Ejecutado;.00;.00;.00;.00;.00;.00;.00;205725.76;16388.86;.00;.00;.00;222114.62;
HADES CAPITAL SAPI DE C.V.,LA HAUS CAYMAN,LA HAUS LLC,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;09-REVENUE,0901-DISTRIBUTION,090101-GENERAL,090102-MEXICO,09010201-CIUDAD DE MEXICO,09010202-GUADALAJARA,09010203-MONTERREY,09010204-QUERETARO,09010205-CANCUN,09010206-VIS MEX,090103-COLOMBIA,09010301-BOGOTA,09010302-MEDELLIN,09010303-CALI,09010304-CARIBE,09010305-VIS COL,090104-BRAZIL,09010401-SAO PAULO,0902-LH CASH ADVANCE,090201-GENERAL,090202-MEXICO,09020201-CIUDAD DE MEXICO,09020202-GUADALAJARA,09020203-MONTERREY,09020204-QUERETARO,09020205-CANCUN,090203-COLOMBIA,09020301-BOGOTA,09020302-MEDELLIN,09020303-CALI,09020304-CARIBE,090204-BRAZIL,0903-COLOMBIA,090301-BOGOTA,090302-MEDELLIN,090303-CALI,090304-CARIBE,0904-USED HOUSING,090401-GENERAL,090402-MEXICO,09040201-CIUDAD DE MEXICO,09040202-GUADALAJARA,09040203-MONTERREY,09040204-QUERETARO,09040205-CANCUN,090403-COLOMBIA,09040301-BOGOTA,09040302-MEDELLIN,09040303-CALI,09040304-CARIBE,090404-BRAZIL,09040401-SAO PAULO,0905-GENERAL PROJECTS,090501- VIS;;;2022;Pagado;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;
HADES CAPITAL SAPI DE C.V.,LA HAUS CAYMAN,LA HAUS LLC,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;09-REVENUE,0901-DISTRIBUTION,090101-GENERAL,090102-MEXICO,09010201-CIUDAD DE MEXICO,09010202-GUADALAJARA,09010203-MONTERREY,09010204-QUERETARO,09010205-CANCUN,09010206-VIS MEX,090103-COLOMBIA,09010301-BOGOTA,09010302-MEDELLIN,09010303-CALI,09010304-CARIBE,09010305-VIS COL,090104-BRAZIL,09010401-SAO PAULO,0902-LH CASH ADVANCE,090201-GENERAL,090202-MEXICO,09020201-CIUDAD DE MEXICO,09020202-GUADALAJARA,09020203-MONTERREY,09020204-QUERETARO,09020205-CANCUN,090203-COLOMBIA,09020301-BOGOTA,09020302-MEDELLIN,09020303-CALI,09020304-CARIBE,090204-BRAZIL,0903-COLOMBIA,090301-BOGOTA,090302-MEDELLIN,090303-CALI,090304-CARIBE,0904-USED HOUSING,090401-GENERAL,090402-MEXICO,09040201-CIUDAD DE MEXICO,09040202-GUADALAJARA,09040203-MONTERREY,09040204-QUERETARO,09040205-CANCUN,090403-COLOMBIA,09040301-BOGOTA,09040302-MEDELLIN,09040303-CALI,09040304-CARIBE,090404-BRAZIL,09040401-SAO PAULO,0905-GENERAL PROJECTS,090501- VIS;;;2022;Transferido;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;
HADES CAPITAL SAPI DE C.V.,LA HAUS CAYMAN,LA HAUS LLC,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;09-REVENUE,0901-DISTRIBUTION,090101-GENERAL,090102-MEXICO,09010201-CIUDAD DE MEXICO,09010202-GUADALAJARA,09010203-MONTERREY,09010204-QUERETARO,09010205-CANCUN,09010206-VIS MEX,090103-COLOMBIA,09010301-BOGOTA,09010302-MEDELLIN,09010303-CALI,09010304-CARIBE,09010305-VIS COL,090104-BRAZIL,09010401-SAO PAULO,0902-LH CASH ADVANCE,090201-GENERAL,090202-MEXICO,09020201-CIUDAD DE MEXICO,09020202-GUADALAJARA,09020203-MONTERREY,09020204-QUERETARO,09020205-CANCUN,090203-COLOMBIA,09020301-BOGOTA,09020302-MEDELLIN,09020303-CALI,09020304-CARIBE,090204-BRAZIL,0903-COLOMBIA,090301-BOGOTA,090302-MEDELLIN,090303-CALI,090304-CARIBE,0904-USED HOUSING,090401-GENERAL,090402-MEXICO,09040201-CIUDAD DE MEXICO,09040202-GUADALAJARA,09040203-MONTERREY,09040204-QUERETARO,09040205-CANCUN,090403-COLOMBIA,09040301-BOGOTA,09040302-MEDELLIN,09040303-CALI,09040304-CARIBE,090404-BRAZIL,09040401-SAO PAULO,0905-GENERAL PROJECTS,090501- VIS;;;2022;Adición;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;
HADES CAPITAL SAPI DE C.V.,LA HAUS CAYMAN,LA HAUS LLC,LA HAUS S.A.S.,LA MEJOR LA HAUS  S. DE R.L. de C.V.,LH CAPITAL S.A.S.;09-REVENUE,0901-DISTRIBUTION,090101-GENERAL,090102-MEXICO,09010201-CIUDAD DE MEXICO,09010202-GUADALAJARA,09010203-MONTERREY,09010204-QUERETARO,09010205-CANCUN,09010206-VIS MEX,090103-COLOMBIA,09010301-BOGOTA,09010302-MEDELLIN,09010303-CALI,09010304-CARIBE,09010305-VIS COL,090104-BRAZIL,09010401-SAO PAULO,0902-LH CASH ADVANCE,090201-GENERAL,090202-MEXICO,09020201-CIUDAD DE MEXICO,09020202-GUADALAJARA,09020203-MONTERREY,09020204-QUERETARO,09020205-CANCUN,090203-COLOMBIA,09020301-BOGOTA,09020302-MEDELLIN,09020303-CALI,09020304-CARIBE,090204-BRAZIL,0903-COLOMBIA,090301-BOGOTA,090302-MEDELLIN,090303-CALI,090304-CARIBE,0904-USED HOUSING,090401-GENERAL,090402-MEXICO,09040201-CIUDAD DE MEXICO,09040202-GUADALAJARA,09040203-MONTERREY,09040204-QUERETARO,09040205-CANCUN,090403-COLOMBIA,09040301-BOGOTA,09040302-MEDELLIN,09040303-CALI,09040304-CARIBE,090404-BRAZIL,09040401-SAO PAULO,0905-GENERAL PROJECTS,090501- VIS;;;2022;Disponible;.00;.00;.00;.00;.00;.00;.00;1187385.30;1740015.19;1765495.85;1765495.85;1765495.85;8223888.04;
